Unnamed: 0,ticker,company_name,pe_ratio,current_ratio,roce,debt_to_equity_ratio,inventory_turnover_ratio,free_cash_flow,reserves_trend,quick_ratio,return_on_equity_ratio,return_on_investment,price_trend
192,MRK,merck,29.81,2.91,0.053019912027621435,0.76,0.57,4885.0,1440.0999999999985,2.36,0.0912,0.0683,12.573880867781027
193,FB,meta_platforms,27.08,1.31,0.13200852772288013,1.61,0.62,5569.0,1170.9999999999984,1.07,0.2365,0.1741,18.65989843848021
194,MGM,mgm_resorts_international,53.19,1.24,0.3969620253164557,19.15,1.04,635.31,512.5999999999998,0.86,3.6124,0.561,12.849634172762766
195,MCHP,microchip_technology,34.52,1.96,-0.018534557422483982,2.55,14.78,-1757.49,707.4,1.93,0.0568,0.06509999999999999,12.612767567137961
196,MU,micron_technology,76.03,1.92,0.07093610064681212,1.84,0.82,1832.2,586.5,1.28,0.1184,0.0995,11.184520915100888
197,MSFT,microsoft,20.98,3.1,0.1198474010491178,0.33,0.97,2438.0,6657.0999999999985,2.36,0.1705,0.1618,21.00649764785626
198,MAA,mid-america_apartments,37.62,2.17,0.2852293959742496,1.21,4.0,56118.0,9945.600000000002,2.12,0.486,0.3889,19.010201409920207
199,MHK,mohawk_industries,15.57,1.35,-0.2588195386702849,1.07,0.75,1959.52,-463.00000000000006,1.25,1.216,1.2663,12.720706059626572
200,TAP,molson_coors,11.68,1.95,0.053195048511207765,0.65,0.89,1344.28,627.9000000000002,1.18,0.1264,0.1298,11.592645542324018
201,MDLZ,mondelez_international,0.0,0.77,-0.017462960590922675,1.04,2.02,1279.7,145.69999999999936,0.56,-0.034,0.0003,12.548016182878188
202,MPWR,monolithic_power_systems,21.19,0.73,0.07317999658126151,1.43,1.49,3111.0,1849.0000000000007,0.53,0.1617,0.1027,26.679042119817787
203,MNST,monster_beverage,110.86,4.68,0.1497175141242938,0.29,0.66,212.19,44.50000000000001,3.76,0.2,inf,11.951022514932776
204,MCO,moody's,33.7,4.7,0.2994681826517513,0.19,1.32,1316.43,1074.2,4.2,0.2684,inf,22.28756473675095
205,MSI,motorola_solutions,8.38,1.32,0.024815237637445173,0.99,1.12,412.0,-141.30000000000004,0.67,0.1765,0.1268,19.398966142025504
206,MSCI,msci,37.58,1.38,0.1872207932855016,-47.06,1.76,1452.0,73.00000000000007,1.21,-3.1186000000000003,0.3331,33.48119299074519
207,NEM,newmont,15.49,1.25,-0.057225381352107585,2.58,0.92,1173.0,-1794.3000000000004,0.68,0.1524,0.1144,11.63842578762188
208,NWSA,news_corp (class_a),24.51,2.67,0.07384210526315789,0.72,1.37,3580.0,845.3000000000003,2.31,0.08560000000000001,0.0952,11.983020360055756
